onset	duration	sample	value
10.2240000000	0.0000000000	10224	64
30.2910000000	0.0000000000	30291	64
52.4250000000	0.0000000000	52425	32
72.5590000000	0.0000000000	72559	64
91.1920000000	0.0000000000	91192	32
113.2760000000	0.0000000000	113276	32
135.3770000000	0.0000000000	135377	32
157.4610000000	0.0000000000	157461	32
179.5450000000	0.0000000000	179545	32
201.6790000000	0.0000000000	201679	64
219.9960000000	0.0000000000	219996	32
240.3300000000	0.0000000000	240330	64
260.4470000000	0.0000000000	260447	32
281.5640000000	0.0000000000	281564	64
301.6980000000	0.0000000000	301698	64
322.8320000000	0.0000000000	322832	64
344.9320000000	0.0000000000	344932	32
365.0330000000	0.0000000000	365033	64
385.1330000000	0.0000000000	385133	64
407.2170000000	0.0000000000	407217	64
427.3010000000	0.0000000000	427301	64
447.3680000000	0.0000000000	447368	64
467.4690000000	0.0000000000	467469	32
488.5690000000	0.0000000000	488569	64
508.6530000000	0.0000000000	508653	64
529.7370000000	0.0000000000	529737	32
550.8540000000	0.0000000000	550854	32
571.9710000000	0.0000000000	571971	32
592.1050000000	0.0000000000	592105	32
613.2220000000	0.0000000000	613222	32
633.3560000000	0.0000000000	633356	64
653.4730000000	0.0000000000	653473	64
673.5570000000	0.0000000000	673557	32
693.6240000000	0.0000000000	693624	64
713.7420000000	0.0000000000	713742	64
734.8250000000	0.0000000000	734825	32
754.9590000000	0.0000000000	754959	64
777.1090000000	0.0000000000	777109	32
798.2100000000	0.0000000000	798210	32
818.2940000000	0.0000000000	818294	32
0.0000000000	0.0000000000	0	0, Impedance
844.3740000000	0.0000000000	844374	0, Impedance
