feature,mean,std
Fz_delta_log_relative_power,-0.74606943,0.4906943
Fz_theta_log_relative_power,-1.5777609,0.61503595
Fz_alpha_log_relative_power,-2.532689,0.94580376
Fz_beta_log_relative_power,-2.7491927,1.0141314
Fz_gamma_log_relative_power,-4.1968617,1.1216388
Cz_delta_log_relative_power,-0.8621792,0.47192046
Cz_theta_log_relative_power,-1.6118261,0.6310495
Cz_alpha_log_relative_power,-2.116398,0.7933706
Cz_beta_log_relative_power,-2.3488562,0.68617916
Cz_gamma_log_relative_power,-3.7632942,0.78997064
C3_delta_log_relative_power,-0.93859035,0.52562326
C3_theta_log_relative_power,-1.8316635,0.6525086
C3_alpha_log_relative_power,-2.206177,0.8730638
C3_beta_log_relative_power,-2.0001817,0.7911084
C3_gamma_log_relative_power,-3.235266,0.90964234
C4_delta_log_relative_power,-0.9279471,0.52611434
C4_theta_log_relative_power,-1.8138155,0.6941471
C4_alpha_log_relative_power,-2.215045,0.86781865
C4_beta_log_relative_power,-2.0486262,0.83738846
C4_gamma_log_relative_power,-3.2962341,0.9720461
